name,url,First appearance,Latest appearance,Occupation(s),Residence,Gender,Color,Eye color,Portrayer,Appearance,Classification,Spouse,Parents,Children
French Narrator,https://spongebob.fandom.com/wiki/French_Narrator,"['""Help Wanted"" (voice)', '""No Free Rides"" (live action)']",,Narrator,His submarine,Male,,,"['Tom Kenny (voice)', 'Unknown (Employee of the Month and Revenge of the Flying Dutchman)', 'Dan Southworth (live action)', 'Vincent Waller (live action; The Tidal Zone)']",,Human,,,
Sea urchin,https://spongebob.fandom.com/wiki/Sea_urchin,,,,,,,,,,,,,
"Garold ""Gary"" Wilson, Jr.",https://spongebob.fandom.com/wiki/Gary_the_Snail,"""Help Wanted""",,"['Waiter at the Krusty Krab (in various episodes)', 'King of Bikini Bottom (formerly) (""Rule of Dumb"")', 'Fry cook (""A Pal for Gary"")', 'De-icker (""Fungus Among Us"")', 'Bouncer (""Shellback Shenanigans"")', 'DJ (""Sharks vs. Pods"")']","['Animal shelter, Bikini Bottom, Pacific Ocean (formerly)', ""Harold and Margaret SquarePants' house, Pacific Ocean (formerly)"", '124 Conch Street, Bikini Bottom, Pacific Ocean (currently)', 'Bass Vegas, Pacific Ocean (formerly)']",Male,"Pink shell with purple dots and a red swirl, blue body, green belly","Scarlet/green with orangish-red iris, and black pupils","['Dee Bradley Baker (dream in ""Sleepy Time"")', 'Keith David (Chatterbox translation collar voice in ""Chatterbox Gary"")']",,Sea snail,,Sluggo Star (father),Alice Wilson (daughter/creation)
Shelley,https://spongebob.fandom.com/wiki/Shelley,[],,,"124 Conch Street, Bikini Bottom, Pacific Ocean","['Female (""The Bikini Bottom\'s Up Tour"")', 'Male (PC version of )']",Lilac,,,,[],,,
Patrick Star,https://spongebob.fandom.com/wiki/Patrick_Star,"""Help Wanted""",,"['Host of The Patrick Show!', 'Occasional Krusty Krab worker', 'Occasional Chum Bucket worker', 'Former boating school student', 'King of Bikini Bottom (formerly) (""Rule of Dumb"")', ""Goofy Goober's Ice Cream Party Boat worker (formerly)"", 'Writer', 'Leader of the Jellyspotters']","['Star house, Bikini Bottom, Pacific Ocean (formerly)', '120 Conch Street, Bikini Bottom, Pacific Ocean (currently)']",Male,"['Vivid Tangerine (Skin)', 'Sunset Orange (Skin outline and spots)', 'Black (Eyebrows, pupils and general outlines)', 'Perfume (Eyelids)', 'White (Sclera and teeth)', 'Pear (Shorts)', 'Lavender (Shorts design)', 'Blue Violet (Shorts design outline)']","['Black', 'Olive green (""Wormy"" and ""Oral Report"")', 'Light blue (""Gone"")', 'Purple (""Time Machine"" and ""Pat the Dog"")', 'Green (Nautical Nonsense: A Tribute to SpongeBob SquarePants Patrick Hat, ""Un-Breaking and De-Entering"")', 'Light brown (Nautical Nonsense: A Tribute to SpongeBob SquarePants Patrick Scream)', 'Blue (San Diego Comic-Con 2016)', 'Dark brown (The SpongeBob Movie: Sponge on the Run, Kamp Koral: SpongeBob\'s Under Years, The Cosmic Shake, Nickelodeon All-Star Brawl 2, Oh Baby Kart x SpongeBob SquarePants, and ""SpongeBob Brings Super Bowl LVIII to Bikini Bottom Bottom w/ Patrick & Sandy!"")', 'Brown (""Shrinking Stars,"" ""Fun & Done!,"" ""Neptune\'s Ball,"" ""Olly Olly Organ Free,"" ""The Patrick Show Cashes In"", ""Who\'s the Dummy Now?"")']","['Kenny Haas (""Back to School Season"" only)', 'Zach Briggs (SpongeBob SubPants Adventure only)', 'Jack Gore (for his young self in The SpongeBob Movie: Sponge on the Run)', 'John Sterchi (Grand Prize Winner! only)']",,"['Sea star (Pisaster brevispinus)', '4/16 Squid', '3/16 Fish', '1/16 Amoeba']",,"['Herb Star/Cecil Star', 'Margie Star/Bunny Star']","['At least one', 'Junior (adoptive)', 'Tiny Patrick (creation)', 'Tiny SpongeBob (adoptive)']"
Squidward J. Q. Tentacles,https://spongebob.fandom.com/wiki/Squidward_Tentacles,"""Help Wanted""",,"['Krusty Krab cashier', 'Occasional replacement fry cook', 'Longtime babysitter and caretaker of Pearl', 'Former manager of the Krusty Krab 2', 'Clarinetist', 'Artist', ""Junior counselor (Kamp Koral: SpongeBob's Under Years)"", 'Bus driver (""Squid\'s on a Bus"")', 'Paper boy (The Patrick Star Show)']","122 Conch Street, Bikini Bottom, Pacific Ocean",Male,Turquoise,Light yellow with mahogany-red pupils,"['Stephen Hillenburg (""Everybody\'s Talking: The Voices Behind SpongeBob SquarePants""; pilot voice acting demo audio for ""Help Wanted"")', 'Rodger Bumpass', 'John Sterchi (Grand Prize Winner!)', 'Tom Kenny (Squidward\'s laughter at the end of ""Funny Pants"")', 'Jason Maybaum (Young Squidward in The SpongeBob Movie: Sponge on the Run)']",,Giant Pacific Octopus,,"['Jeff Tentacles (father)', 'Mrs. Tentacles (mother)']",
Eugene Harold Krabs,https://spongebob.fandom.com/wiki/Eugene_H._Krabs,"""Help Wanted""",,"['Owner and founder of the Krusty Krab', 'Naval cadet (formerly)', 'Bathroom cleaner of the S.S. Gourmet (formerly)', 'Head chef of the S.S. Diarrhea (formerly)', 'Camp chef at Kamp Koral (formerly)', 'Camp director at Kamp Koral (formerly)']","3451 Anchor Way, Bikini Bottom, Pacific Ocean",Male,Crimson red,"['Green (according to his license in ""Sleepy Time"" and ""Mall Girl Pearl"" and seen in ""Krabby Patty Creature Feature"" and ""Plankton Paranoia"")', 'Black', 'Brown (in ""Squeaky Boots,"" Nautical Nonsense: A Tribute to SpongeBob SquarePants Mr. Krabs, San Diego Comic-Con 2016, ""Friendiversary,"" and ""Buff for Puff"")', 'Orange (in ""The Hankering"")']","['Clancy Brown', 'Dee Bradley Baker - singing voice in ""Christmas Who?""', 'Joe Whyte - video games: SuperSponge, Operation Krabby Patty, Battle for Bikini Bottom, and Battle for Bikini Bottom: Rehydrated', 'Patrick Pinney - video game SpongeBob SquarePants Typing', ""Bob Joles - SpongeBob's Truth or Square, SpongeBob's Boating Bash, SpongeBob SquarePants 4-D: The Great Jelly Rescue!, SpongeBob Moves In!, and SpongeBob's Game Frenzy"", 'Lori Alan - impersonating Pearl in ""One Coarse Meal""', 'Unknown (neither Clancy Brown nor Jay Preston) - ""Intelligent Financial Life""']",,Red Crab,"['Mrs. Krabs (ex-wife or late-wife)', 'Cashina (late-wife)']","['Krabs Senior (father)', 'Betsy Krabs (mother)']","['Pearl Krabs (daughter)', 'PlanKrab (son/clone)']"
Incidental 30,https://spongebob.fandom.com/wiki/Incidental_30,"""Help Wanted""","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""End of Summer Daze"" (Incidental 117) (Kamp Koral: SpongeBob\'s Under Years)', '""Patrick Show Land"" (The Patrick Star Show)']","['Jellyspotter (Jellyspotter A and C)', 'Barber', 'Doctor', 'Battle reenactor', 'Blue soldier', 'Band member', 'Fry Cook Games competitor', 'Krusty Krab commercial crew member (formerly)', 'Fizz Bomb Cola truck driver', 'Camper (Incidental 117)', 'Organ carrier', 'Student', 'Sailor (Jellyspotter A and C)']","['Bikini Bottom, Pacific Ocean', 'Inferno Island', 'Barge Cabin, Kamp Koral (Incidental 117)']",Male,Light blue,Black,"['Rodger Bumpass', 'Clancy Brown (""Pickles"")', 'Sirena Irwin (""SpongeBob\'s Place"")', 'Jill Talley (Anchovy bride)', 'Eban Schletter (""The Inmates of Summer"") (singing voice)']",,Anchovy,,,
Incidental 30A,https://spongebob.fandom.com/wiki/Incidental_30A,"""Help Wanted""","['Saving Bikini Bottom: The Sandy Cheeks Movie (SpongeBob SquarePants)', '""End of Summer Daze"" (Incidental 116) (Kamp Koral: SpongeBob\'s Under Years)', '""Star-Robics"" (The Patrick Star Show)']","['Jellyspotter (Jellyspotters B, D, and E)', 'Chef', 'Battle re-enactor', 'Red soldier', 'Fry Cook Games competitor', 'Camper (Incidental 116)', 'Camera man', 'Sailor (Jellyspotters B, D, and E)']","['Bikini Bottom, Pacific Ocean', 'Bikini Bottom Jail', 'Krusty Slammer', 'Barge Cabin, Kamp Koral (Incidental 116)', 'Binary Bottom (""RobotInc"" variant)', 'New Kelp City']",Male,Brown,Black,"['Rodger Bumpass', 'Carlos Alazraqui']",,Anchovy,,,
Betsy Krabs,https://spongebob.fandom.com/wiki/Betsy_Krabs,"['""Help Wanted"" (mentioned)', '""Sailor Mouth"" (physically)']","""Momageddon""",,"Betsy Krabs' house, Bikini Bottom, Pacific Ocean",Female,Light red,Light yellow with black pupils,"['Paul Tibbitt (seasons 2 - 3)', 'Sirena Irwin (season 4 - present)']",,Crab,Krabs Senior (husband),,"['Eugene H. Krabs (son)', 'Unnamed daughter']"
